"OrderID","ReversalID","RefundCompletionDate","Currency","AmountRefunded","Status","DisbursementType"
"112-2486033-1655410","XiPH31ZDRSqkoFjOfng2aA","2025-07-14T08:12:12.893Z","USD","35.64","Completed","Refund"
"112-0034658-7418618","QeBrufhaRpu/FCYjrkGvgA","2025-07-14T07:26:01.415Z","USD","9.16","Completed","Refund"
"113-4169941-4784237","pUTstMCQRwuACNx16YAt5A","2025-07-14T07:18:58.146Z","USD","8.08","Completed","Refund"
"111-3664735-3142650","NpPg1NolSsezedeVnDFPwg","2025-07-14T06:49:19.389Z","USD","6.8","Completed","Refund"
"113-9530814-7583421","L0qiC/WPS4KlHB20h93gOw","2025-07-14T06:45:55.620Z","USD","6.73","Completed","Refund"
"113-0853107-9365826","Atii98dSRO2/q6u2FJZ8+Q","2025-07-14T06:44:06.996Z","USD","16.1","Completed","Refund"
"113-6948182-9157057","btpgSJzFRv2Q42GE5j4Mrg","2025-07-13T11:11:03.662Z","USD","16.22","Completed","Refund"
"114-9602898-4553039","uxuLOWp4QReGCyel7OftXg","2025-07-13T10:59:37.704Z","USD","29.69","Completed","Refund"
"113-1915846-4109058","owFmeBMBTLOaYk9Re2EviQ","2025-07-13T10:59:23.725Z","USD","42.89","Completed","Refund"
"111-7822976-4049016","McldJ86fQRaWFRpJFzYCzw","2025-07-13T10:38:25.873Z","USD","36.46","Completed","Refund"
"112-7894503-1349812","2bGmDEbXQGap/FVPDtkRbw","2025-07-13T10:10:24.636Z","USD","35.99","Completed","Refund"
"111-4643168-7765862","q1+VxXi+Sc6CCC77NSdI0w","2025-07-13T09:13:33.509Z","USD","13.58","Completed","Refund"
"113-1013354-0123440","OT5guZ9+TCOliftD6CAt8g","2025-07-13T09:11:40.277Z","USD","3.15","Completed","Refund"
"114-8007589-2605852","zdrYOuePS4KItkLGBYJZNg","2025-07-13T09:09:07.024Z","USD","9.16","Completed","Refund"
"112-3013814-1676222","yZd0Q6ivQSqd4gIvry6vpA","2025-04-18T00:31:03.271Z","USD","72.86","Completed","Refund"
"112-5793683-5065034","PFcWtEFhQG2c/80T5YmyDw","2025-03-13T23:03:36.005Z","USD","42.69","Completed","Refund"
"112-1415830-0522620","kdSv8C+AQxusZnNq6f+9QA","2025-02-01T02:21:42.006Z","USD","181.46","Completed","Refund"
"111-9135210-7785858","Afyb0TzMQnC+e7ycW+XMaQ","2025-01-29T00:09:43.329Z","USD","20.41","Completed","Refund"
"111-3270590-2536216","dvOdUp7fQvq0yHnafSCsyQ","2025-01-29T00:09:43.119Z","USD","10.66","Completed","Refund"
"111-3270590-2536216","7XWYWfj5TEiuUilo0wTJ7A","2025-01-29T00:06:56.180Z","USD","26.54","Completed","Refund"
"111-4704866-6309842","zw4vp8oCToG6IUnBkksZrA","2025-01-21T22:40:54.429Z","USD","16.8","Completed","Refund"
"112-7652657-1371437","VHK1r9ZJQr2Iw2QV99J+6Q","2025-01-12T18:13:42.791Z","USD","202.77","Completed","Refund"
"112-1110453-5154655","573cnykzTSqndCLLTsz8AQ","2024-12-30T06:21:25.195Z","USD","22.71","Completed","Refund"
"112-4814229-1889063","GYSQao9ITB6tDShYvb+u5w","2024-12-27T07:28:01.097Z","USD","6.8","Completed","Refund"
"112-3883101-2169827","pIjzKKnRRX6ZkMEpmfBt5g","2024-12-24T04:28:19.070Z","USD","28.8","Completed","Refund"
"112-5046612-7331411","J7UjDmYzTaiXN72CFkSHRg","2024-12-24T04:21:56.391Z","USD","72.1","Completed","Refund"
"114-0484958-5973830","FKCEIJjWRAGEOBItYpQGSQ","2024-12-23T22:38:04.448Z","USD","24.48","Completed","Refund"
"112-2565788-0415436","EgptPJrsT/SpvqKMTT0O2Q","2024-10-18T15:23:02.167Z","USD","30.97","Completed","Refund"
"113-7146672-1732202","k5OyjxloSQuz0ffZFwDxaQ","2024-10-18T15:10:46.131Z","USD","10.51","Completed","Refund"
"111-7092937-1019420","HQfGNZW3THeYh6cMA6QL8Q","2024-10-18T14:28:34.879Z","USD","10.51","Completed","Refund"
"112-6662253-7303428","3WzdBdrJTzO8iHNT081J9Q","2024-09-15T20:43:14.320Z","USD","87.1","Completed","Refund"
"112-8372017-2587408","pI66VzZ8TsezORG1d6DMRA","2024-08-31T17:34:56.450Z","USD","42.69","Completed","Refund"
"114-6055824-0117836","oiu43/W7QeajfnEOqYtxIQ","2024-07-19T05:49:41.287Z","USD","27.9","Completed","Refund"
"112-3318741-6425006","zUitc4LETW638pyWJ4pMww","2024-07-19T05:35:45.002Z","USD","30.82","Completed","Refund"
"113-0772213-1941816","MP1ndqtUTruZYyoV3Ph8Uw","2024-07-19T05:00:07.905Z","USD","9.6","Completed","Refund"
"112-2674729-8025828","82UrG3KAQ5ubb1+UGXuNZQ","2024-07-19T03:50:40.311Z","USD","32.78","Completed","Refund"
"111-8319439-3165045","juiPUR3zRnO7f5Ftb7B3bg","2024-07-19T03:23:27.981Z","USD","31.16","Completed","Refund"
"114-8812198-2022631","O27ZvmeRQ/mOf/oVdq0ztg","2024-02-20T02:57:41.918Z","USD","18.14","Completed","Refund"
"114-8812198-2022631","vo6X2A2/QwGPFpErxLR2wQ","2024-02-20T01:44:19.894Z","USD","15.45","Completed","Refund"
"113-2645582-9095450","u2czL5lxT3q0kQQ5xqms1w","2023-07-19T23:46:31.097Z","USD","42.87","Completed","Refund"
"114-1684568-5747466","iPgF/91ZTouIxrgXnirorw","2023-04-05T20:39:21.716Z","USD","35.91","Completed","Refund"
"114-9967075-3765028","XSgqaVXpT2eDUqGHrNkBEw","2022-10-08T01:12:10.230Z","USD","68.28","Completed","Refund"
"114-2998049-6241822","mh8U3dreRBubvc+UjunScA","2022-10-08T01:10:58.509Z","USD","32.01","Completed","Refund"
"114-2951599-9408203","KMHAzlZhRUCTC1dOR4brxg","2022-09-08T07:02:23.337Z","USD","91.79","Completed","Refund"
"114-1642531-9437008","0EKdur8BTY+fJGGAPNUhnA","2022-06-11T22:12:27.596Z","USD","41.62","Completed","Refund"
"114-2218406-9708209","k4TL/NbiR5SBhPciq/Me1g","2022-06-11T22:03:21.825Z","USD","103.33","Completed","Refund"
"114-2285776-5712207","AcBkNtYKSaOckFxpr553Ig","2022-06-11T22:02:56.971Z","USD","44.4","Completed","Refund"
"114-9006771-6567461","hcmXzAuhQyuQU3PJFHycrg","2022-05-31T21:52:03.674Z","USD","37.81","Completed","Refund"
"114-9189914-3168249","zzZiBFFZQeSLv57jXjuVrw","2022-02-24T03:28:21.074Z","USD","180.22","Completed","Refund"
"114-9189914-3168249","zBqRKFuJSOmbB1UeIw5bAQ","2022-02-23T22:56:44.326Z","USD","180.22","Completed","Refund"
"114-3720200-3567430","pXb1KOnJTgWRj7gIKDOd+Q","2022-02-17T20:14:42.594Z","USD","53.36","Completed","Refund"
"114-0944160-7080229","5h6FtkFFQSeXe2TX6tE6Gw","2022-02-06T20:03:28.429Z","USD","640.5","Completed","Refund"
"114-1009939-8015429","EV6I7ruaTOepm1nRKFI1iA","2022-01-23T07:52:11.810Z","USD","404.58","Completed","Refund"
"114-0307285-1608239","uDoe1s28TLWrN3AA6o3Qmw","2022-01-16T09:28:24.504Z","USD","837.69","Completed","Refund"
"114-5088663-8965029","er34vNo1TyCqm7sW46g+3g","2021-12-30T21:44:16.556Z","USD","40.2","Completed","Refund"
"114-7263754-7657045","'+ScYZILgSqG7QpNPfCIpsA'","2021-11-08T21:24:41.843Z","USD","32.99","Completed","Refund"
"114-5740981-7330603","slvneJ1qQ1S0Zq3SC0Rq0A","2021-11-08T14:24:32.259Z","USD","32","Completed","Refund"
"114-2196108-6567454","PJOIyYYfTu++0xvX86/OtA","2021-10-19T06:02:48.348Z","USD","697.68","Completed","Refund"
"114-9416760-1465809","M9DTnrFoTS6dCp1Diu4nUw","2021-10-14T02:28:01.702Z","USD","149.44","Completed","Refund"
"114-5107881-1748242","TUzAJQh6RYOgUCtArv4gXg","2021-10-01T01:22:23.024Z","USD","29.87","Completed","Refund"
"114-5107881-1748242","u2Z92gIhTCOKdbnTjYr7eA","2021-09-23T19:53:22.948Z","USD","28.27","Completed","Refund"
"111-6297946-1694645","3oPOQgXoSDq4Lz4lCOJsgw","2021-08-11T17:41:57.026Z","USD","46.96","Completed","Refund"
"111-1914396-9713821","pr853GtASJijGoJGMyWE6Q","2021-08-10T00:40:00.282Z","USD","138.74","Completed","Refund"
"114-2196108-6567454","V2F05vFhSwyl3hJ+7sxFvA","Not Applicable","Not Applicable","Not Applicable","Skipped","Refund"
