"Website","ReversalID","OrderID","CreationDate","Quantity","Currency","ReversalStatus","ReversalAmountState","ReversalReason","DirectDebitRefundAmount"
"Amazon.com","QeBrufhaRpu/FCYjrkGvgA","112-0034658-7418618","2025-07-14T05:56:55.146Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","pUTstMCQRwuACNx16YAt5A","113-4169941-4784237","2025-07-14T05:40:23.248Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","Atii98dSRO2/q6u2FJZ8+Q","113-0853107-9365826","2025-07-14T05:36:40.861Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","L0qiC/WPS4KlHB20h93gOw","113-9530814-7583421","2025-07-14T05:28:57.326Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","NpPg1NolSsezedeVnDFPwg","111-3664735-3142650","2025-07-14T05:23:22.492Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","XiPH31ZDRSqkoFjOfng2aA","112-2486033-1655410","2025-07-14T05:21:15.180Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","zdrYOuePS4KItkLGBYJZNg","114-8007589-2605852","2025-07-13T08:15:03.289Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","owFmeBMBTLOaYk9Re2EviQ","113-1915846-4109058","2025-07-13T08:07:39.951Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","McldJ86fQRaWFRpJFzYCzw","111-7822976-4049016","2025-07-13T08:06:45.498Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","btpgSJzFRv2Q42GE5j4Mrg","113-6948182-9157057","2025-07-13T08:05:47.811Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","uxuLOWp4QReGCyel7OftXg","114-9602898-4553039","2025-07-13T08:05:21.125Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","OT5guZ9+TCOliftD6CAt8g","113-1013354-0123440","2025-07-13T07:58:54.505Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","q1+VxXi+Sc6CCC77NSdI0w","111-4643168-7765862","2025-07-13T07:57:17.447Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","2bGmDEbXQGap/FVPDtkRbw","112-7894503-1349812","2025-07-13T07:28:18.882Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","yZd0Q6ivQSqd4gIvry6vpA","112-3013814-1676222","2025-04-17T21:32:41.428Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","yZd0Q6ivQSqd4gIvry6vpA","112-3013814-1676222","2025-04-17T21:32:41.428Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","yZd0Q6ivQSqd4gIvry6vpA","112-3013814-1676222","2025-04-17T21:32:41.428Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","PFcWtEFhQG2c/80T5YmyDw","112-5793683-5065034","2025-03-13T20:06:41.466Z","1","USD","Completed","Final","Item shipped late","0"
"Amazon.com","kdSv8C+AQxusZnNq6f+9QA","112-1415830-0522620","2025-01-31T23:01:51.678Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","dvOdUp7fQvq0yHnafSCsyQ","111-3270590-2536216","2025-01-28T22:08:27.681Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","Afyb0TzMQnC+e7ycW+XMaQ","111-9135210-7785858","2025-01-28T22:06:19.219Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","7XWYWfj5TEiuUilo0wTJ7A","111-3270590-2536216","2025-01-28T22:05:34.343Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","zw4vp8oCToG6IUnBkksZrA","111-4704866-6309842","2025-01-21T22:31:41.096Z","1","USD","Completed","Final","Item not satisfactory","0"
"Amazon.com","VHK1r9ZJQr2Iw2QV99J+6Q","112-7652657-1371437","2025-01-12T18:04:09.746Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","573cnykzTSqndCLLTsz8AQ","112-1110453-5154655","2024-12-30T06:11:38.519Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","GYSQao9ITB6tDShYvb+u5w","112-4814229-1889063","2024-12-27T05:30:01.818Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","J7UjDmYzTaiXN72CFkSHRg","112-5046612-7331411","2024-12-24T01:13:01.615Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","J7UjDmYzTaiXN72CFkSHRg","112-5046612-7331411","2024-12-24T01:13:01.615Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","J7UjDmYzTaiXN72CFkSHRg","112-5046612-7331411","2024-12-24T01:13:01.615Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","pIjzKKnRRX6ZkMEpmfBt5g","112-3883101-2169827","2024-12-24T01:13:00.141Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","FKCEIJjWRAGEOBItYpQGSQ","114-0484958-5973830","2024-12-23T22:27:38.985Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","EgptPJrsT/SpvqKMTT0O2Q","112-2565788-0415436","2024-10-18T14:28:26.768Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","k5OyjxloSQuz0ffZFwDxaQ","113-7146672-1732202","2024-10-18T14:27:55.027Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","HQfGNZW3THeYh6cMA6QL8Q","111-7092937-1019420","2024-10-18T13:52:51.520Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","3WzdBdrJTzO8iHNT081J9Q","112-6662253-7303428","2024-09-15T17:57:40.043Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","3WzdBdrJTzO8iHNT081J9Q","112-6662253-7303428","2024-09-15T17:57:40.043Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","3WzdBdrJTzO8iHNT081J9Q","112-6662253-7303428","2024-09-15T17:57:40.043Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","pI66VzZ8TsezORG1d6DMRA","112-8372017-2587408","2024-08-31T15:33:46.208Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","82UrG3KAQ5ubb1+UGXuNZQ","112-2674729-8025828","2024-07-19T02:41:22.077Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","oiu43/W7QeajfnEOqYtxIQ","114-6055824-0117836","2024-07-19T02:36:11.710Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","zUitc4LETW638pyWJ4pMww","112-3318741-6425006","2024-07-19T02:29:29.355Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","juiPUR3zRnO7f5Ftb7B3bg","111-8319439-3165045","2024-07-19T02:13:33.009Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","MP1ndqtUTruZYyoV3Ph8Uw","113-0772213-1941816","2024-07-19T02:07:09.197Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","O27ZvmeRQ/mOf/oVdq0ztg","114-8812198-2022631","2024-02-19T20:17:42.255Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","vo6X2A2/QwGPFpErxLR2wQ","114-8812198-2022631","2024-02-19T20:00:00.907Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","u2czL5lxT3q0kQQ5xqms1w","113-2645582-9095450","2023-07-19T21:45:17.791Z","3","USD","Completed","Final","Customer return","0"
"Amazon.com","u2czL5lxT3q0kQQ5xqms1w","113-2645582-9095450","2023-07-19T21:45:17.791Z","3","USD","Completed","Final","Customer return","0"
"Amazon.com","u2czL5lxT3q0kQQ5xqms1w","113-2645582-9095450","2023-07-19T21:45:17.791Z","3","USD","Completed","Final","Customer return","0"
"Amazon.com","iPgF/91ZTouIxrgXnirorw","114-1684568-5747466","2023-04-05T19:49:46.592Z","1","USD","Completed","Final","Item not received","0"
"Amazon.com","XSgqaVXpT2eDUqGHrNkBEw","114-9967075-3765028","2022-10-07T23:10:58.382Z","4","USD","Completed","Final","Customer return","0"
"Amazon.com","XSgqaVXpT2eDUqGHrNkBEw","114-9967075-3765028","2022-10-07T23:10:58.382Z","4","USD","Completed","Final","Customer return","0"
"Amazon.com","XSgqaVXpT2eDUqGHrNkBEw","114-9967075-3765028","2022-10-07T23:10:58.382Z","4","USD","Completed","Final","Customer return","0"
"Amazon.com","XSgqaVXpT2eDUqGHrNkBEw","114-9967075-3765028","2022-10-07T23:10:58.382Z","4","USD","Completed","Final","Customer return","0"
"Amazon.com","mh8U3dreRBubvc+UjunScA","114-2998049-6241822","2022-10-07T23:09:47.856Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","KMHAzlZhRUCTC1dOR4brxg","114-2951599-9408203","2022-09-08T03:38:56.710Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","0EKdur8BTY+fJGGAPNUhnA","114-1642531-9437008","2022-06-11T20:11:16.849Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","k4TL/NbiR5SBhPciq/Me1g","114-2218406-9708209","2022-06-11T20:02:10.661Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","AcBkNtYKSaOckFxpr553Ig","114-2285776-5712207","2022-06-11T20:01:46.322Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","hcmXzAuhQyuQU3PJFHycrg","114-9006771-6567461","2022-05-31T17:19:09.543Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","zzZiBFFZQeSLv57jXjuVrw","114-9189914-3168249","2022-02-24T03:22:11.108Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","zBqRKFuJSOmbB1UeIw5bAQ","114-9189914-3168249","2022-02-23T22:50:34.277Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","pXb1KOnJTgWRj7gIKDOd+Q","114-3720200-3567430","2022-02-17T17:49:26.920Z","2","USD","Completed","Final","Account adjustment","0"
"Amazon.com","pXb1KOnJTgWRj7gIKDOd+Q","114-3720200-3567430","2022-02-17T17:49:26.920Z","2","USD","Completed","Final","Account adjustment","0"
"Amazon.com","5h6FtkFFQSeXe2TX6tE6Gw","114-0944160-7080229","2022-02-06T16:40:38.628Z","1","USD","Completed","Final","Order cancelled by merchant","0"
"Amazon.com","EV6I7ruaTOepm1nRKFI1iA","114-1009939-8015429","2022-01-23T04:34:49.861Z","1","USD","Completed","Final","Item not received","0"
"Amazon.com","uDoe1s28TLWrN3AA6o3Qmw","114-0307285-1608239","2022-01-16T06:18:42.516Z","1","USD","Completed","Final","Order cancelled","0"
"Amazon.com","er34vNo1TyCqm7sW46g+3g","114-5088663-8965029","2021-12-30T21:38:05.425Z","2","USD","Completed","Final","Customer return","0"
"Amazon.com","er34vNo1TyCqm7sW46g+3g","114-5088663-8965029","2021-12-30T21:38:05.425Z","2","USD","Completed","Final","Customer return","0"
"Amazon.com","'+ScYZILgSqG7QpNPfCIpsA'","114-7263754-7657045","2021-11-08T17:44:57.898Z","1","USD","Completed","Final","Item not satisfactory","0"
"Amazon.com","slvneJ1qQ1S0Zq3SC0Rq0A","114-5740981-7330603","2021-11-08T13:21:12.773Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","PJOIyYYfTu++0xvX86/OtA","114-2196108-6567454","2021-10-19T02:10:24.175Z","2","USD","Completed","Final","Customer return","0"
"Amazon.com","PJOIyYYfTu++0xvX86/OtA","114-2196108-6567454","2021-10-19T02:10:24.175Z","2","USD","Completed","Final","Customer return","0"
"Amazon.com","M9DTnrFoTS6dCp1Diu4nUw","114-9416760-1465809","2021-10-14T00:24:00.626Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","V2F05vFhSwyl3hJ+7sxFvA","114-2196108-6567454","2021-10-11T01:16:42.731Z","2","USD","Canceled","Requested","Customer return","0"
"Amazon.com","V2F05vFhSwyl3hJ+7sxFvA","114-2196108-6567454","2021-10-11T01:16:42.731Z","2","USD","Canceled","Requested","Customer return","0"
"Amazon.com","TUzAJQh6RYOgUCtArv4gXg","114-5107881-1748242","2021-09-30T23:21:10.809Z","1","USD","Completed","Final","Customer return","0"
"Amazon.com","u2Z92gIhTCOKdbnTjYr7eA","114-5107881-1748242","2021-09-23T18:44:15.891Z","1","USD","Completed","Final","Shipping address is undeliverable","0"
"Amazon.com","3oPOQgXoSDq4Lz4lCOJsgw","111-6297946-1694645","2021-08-11T14:39:49.325Z","1","USD","Completed","Final","Item shipped late","0"
"Amazon.com","pr853GtASJijGoJGMyWE6Q","111-1914396-9713821","2021-08-09T21:30:46.232Z","1","USD","Completed","Final","Account adjustment","0"
